id|title|releaseDate|storeReleaseDate|FinalPrice|OriginalPrice|PriceDiscountPercentage|PriceDiscountAmount|PriceCurrency|productState|storeLink|Developer|Publisher|OperatingSystem1|OperatingSystem2|OperatingSystem3|Tag1|Tag2|Tag3|Tag4|Tag5|Tag6|Tag7|Tag8|Tag9|Tag10
^1207658697^|^Disciples 2 Gold^|^2005-02-03^|^2008-12-02^|^1.99^|^9.99^|^-80.0^|^8.00^|^USD^|^default^|^https://www.gog.com/en/game/disciples_2_gold^|^Strategy First^|^Strategy First^|^windows^|^^|^^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Turn-Based', 'slug': 'turn-based'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Dark', 'slug': 'dark'}^|^{'name': 'Tactical', 'slug': 'tactical'}^|^{'name': 'Isometric', 'slug': 'isometric'}^|^{'name': 'Good Old Game', 'slug': 'good-old-game'}^|^^
^1728870436^|^Frostpunk 2^|^2024-09-20^|^2024-09-20^|^44.99^|^44.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/frostpunk_2^|^11 bit studios^|^11 bit studios^|^windows^|^^|^^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Simulation', 'slug': 'simulation'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Dark', 'slug': 'dark'}^|^{'name': 'Choices Matter', 'slug': 'choices-matter'}^|^{'name': 'Management', 'slug': 'management'}^|^{'name': 'Difficult', 'slug': 'difficult'}^|^{'name': 'Resource Management', 'slug': 'resource-management'}^
^1756362098^|^Freedom Fighters^|^2003-09-26^|^2020-09-21^|^1.49^|^14.99^|^-90.0^|^13.50^|^USD^|^default^|^https://www.gog.com/en/game/freedom_fighters^|^IO Interactive^|^IO Interactive^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Tactical', 'slug': 'tactical'}^|^{'name': 'Shooter', 'slug': 'shooter'}^|^^|^^|^^|^^|^^
^1436868350^|^Wet Nightmares^|^^|^2024-09-23^|^8.99^|^9.99^|^-10.0^|^1.00^|^USD^|^early-access^|^https://www.gog.com/en/game/wet_nightmares^|^Demonheart Studios^|^Kinky Fridays^|^windows^|^linux^|^osx^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Horror', 'slug': 'horror'}^|^{'name': 'Visual Novel', 'slug': 'visual-novel'}^|^{'name': 'Violent', 'slug': 'violent'}^|^{'name': 'Sexual Content', 'slug': 'sexual-content'}^|^{'name': 'Nudity', 'slug': 'nudity'}^|^{'name': 'Multiple Endings', 'slug': 'multiple-endings'}^|^{'name': 'Mature', 'slug': 'mature'}^|^{'name': 'NSFW', 'slug': 'nsfw'}^
^1207658712^|^Stronghold HD^|^2001-10-22^|^1991-12-25^|^1.79^|^5.99^|^-70.0^|^4.20^|^USD^|^default^|^https://www.gog.com/en/game/stronghold^|^FireFly Studios^|^FireFly Studios^|^windows^|^^|^^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Funny', 'slug': 'funny'}^|^{'name': 'Open World', 'slug': 'open-world'}^|^{'name': 'Sandbox', 'slug': 'sandbox'}^|^{'name': 'Historical', 'slug': 'historical'}^|^{'name': 'Resource Management', 'slug': 'resource-management'}^|^{'name': 'Isometric', 'slug': 'isometric'}^
^1412601690^|^Diablo + Hellfire^|^1996-12-31^|^2019-03-07^|^9.99^|^9.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/diablo^|^Blizzard Entertainment, Inc.^|^Blizzard Entertainment, Inc.^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Role-playing', 'slug': 'role-playing'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Dark', 'slug': 'dark'}^|^{'name': 'Violent', 'slug': 'violent'}^|^{'name': 'Gore', 'slug': 'gore'}^|^{'name': 'Isometric', 'slug': 'isometric'}^|^{'name': 'Magic', 'slug': 'magic'}^
^1569244437^|^Graveyard Keeper - Better Save Soul^|^2021-10-27^|^2021-10-28^|^1.99^|^9.99^|^-80.0^|^8.00^|^USD^|^default^|^https://www.gog.com/en/game/graveyard_keeper_better_save_soul^|^Lazy Bear Games^|^tinyBuild^|^windows^|^linux^|^osx^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Simulation', 'slug': 'simulation'}^|^{'name': 'Mystery', 'slug': 'mystery'}^|^^|^^|^^|^^|^^|^^|^^
^1207659244^|^Rise of the Triad (2013)^|^2013-07-31^|^2013-07-31^|^1.49^|^14.99^|^-90.0^|^13.50^|^USD^|^default^|^https://www.gog.com/en/game/rise_of_the_triad^|^Interceptor Entertainment^|^Apogee Entertainment^|^windows^|^^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Sci-fi', 'slug': 'sci-fi'}^|^{'name': 'Science', 'slug': 'science'}^|^{'name': 'First-Person', 'slug': 'first-person'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Female Protagonist', 'slug': 'female-protagonist'}^|^{'name': 'Funny', 'slug': 'funny'}^|^{'name': 'Multiplayer', 'slug': 'multiplayer'}^|^{'name': 'Gore', 'slug': 'gore'}^|^{'name': 'FPS', 'slug': 'fps'}^
^1621159343^|^Tails of Iron^|^2021-09-17^|^2024-06-03^|^2.99^|^24.99^|^-88.0^|^22.00^|^USD^|^default^|^https://www.gog.com/en/game/tails_of_iron^|^Odd Bug Studio^|^United Label, CI Games^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Difficult', 'slug': 'difficult'}^|^{'name': 'Medieval', 'slug': 'medieval'}^|^{'name': 'Narrative', 'slug': 'narrative'}^|^{'name': 'Metroidvania', 'slug': 'metroidvania'}^
^1941294775^|^SteamWorld Quest: Hand of Gilgamech^|^2019-05-31^|^2019-06-14^|^1.74^|^24.99^|^-93.0^|^23.25^|^USD^|^default^|^https://www.gog.com/en/game/steamworld_quest_hand_of_gilgamech^|^Image and Form^|^Thunderful Publishing^|^windows^|^linux^|^osx^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Role-playing', 'slug': 'role-playing'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Turn-Based', 'slug': 'turn-based'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Casual', 'slug': 'casual'}^|^{'name': 'Magic', 'slug': 'magic'}^|^{'name': 'Cartoony', 'slug': 'cartoony'}^
^1965973671^|^Syberia 3: The Complete Journey^|^2017-04-20^|^2017-11-09^|^1.49^|^14.99^|^-90.0^|^13.50^|^USD^|^default^|^https://www.gog.com/en/game/syberia_3_the_complete_journey^|^Microids^|^Microids^|^windows^|^osx^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Exploration', 'slug': 'exploration'}^|^{'name': 'Puzzle', 'slug': 'puzzle'}^|^{'name': 'Female Protagonist', 'slug': 'female-protagonist'}^|^{'name': 'Point&Click', 'slug': 'point-and-click'}^|^{'name': 'Mystery', 'slug': 'mystery'}^|^{'name': 'Third Person', 'slug': 'third-person'}^
^1207659008^|^Robin Hood: The Legend of Sherwood^|^2002-11-14^|^2012-03-06^|^1.19^|^7.99^|^-85.0^|^6.80^|^USD^|^default^|^https://www.gog.com/en/game/robin_hood^|^Spellbound Entertainment AG^|^Microids^|^windows^|^^|^^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Tactical', 'slug': 'tactical'}^|^{'name': 'Real-Time', 'slug': 'real-time'}^|^{'name': 'Historical', 'slug': 'historical'}^|^{'name': 'Isometric', 'slug': 'isometric'}^|^{'name': 'Good Old Game', 'slug': 'good-old-game'}^|^{'name': 'Medieval', 'slug': 'medieval'}^|^{'name': 'Stealth', 'slug': 'stealth'}^|^^
^2067281194^|^Crystal Caves HD^|^2020-10-15^|^2020-10-15^|^2.39^|^7.99^|^-70.0^|^5.60^|^USD^|^default^|^https://www.gog.com/en/game/crystal_caves_hd^|^Emberheart Games^|^Apogee Entertainment^|^windows^|^linux^|^^|^{'name': 'Action', 'slug': 'action'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Science', 'slug': 'science'}^|^{'name': 'Puzzle', 'slug': 'puzzle'}^|^{'name': 'Pixel Graphics', 'slug': 'pixel-graphics'}^|^{'name': 'Platformer', 'slug': 'platformer'}^|^{'name': 'Logic', 'slug': 'logic'}^|^{'name': 'Space', 'slug': 'space'}^|^{'name': 'Puzzle Platformer', 'slug': 'puzzle-platformer'}^|^{'name': 'LevelEditor', 'slug': 'leveleditor'}^
^1992215964^|^SteamWorld Build^|^2023-12-01^|^2023-12-01^|^12.49^|^24.99^|^-50.0^|^12.50^|^USD^|^default^|^https://www.gog.com/en/game/steamworld_build^|^Thunderful Development^|^Thunderful Publishing^|^windows^|^^|^^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Simulation', 'slug': 'simulation'}^|^{'name': 'Management', 'slug': 'management'}^|^{'name': 'Sandbox', 'slug': 'sandbox'}^|^{'name': 'Resource Management', 'slug': 'resource-management'}^|^{'name': 'Top-Down', 'slug': 'top-down'}^|^{'name': 'Building', 'slug': 'building'}^|^{'name': 'City builder', 'slug': 'city-builder'}^|^{'name': 'Steampunk', 'slug': 'steampunk'}^|^^
^1456460669^|^Baldur's Gate 3^|^2023-08-03^|^2020-10-06^|^59.99^|^59.99^|^^|^0.00^|^USD^|^default^|^https://www.gog.com/en/game/baldurs_gate_iii^|^Larian Studios^|^Larian Studios^|^windows^|^osx^|^^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Role-playing', 'slug': 'role-playing'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Turn-Based', 'slug': 'turn-based'}^|^{'name': 'Exploration', 'slug': 'exploration'}^|^{'name': 'Dark', 'slug': 'dark'}^|^{'name': 'Choices Matter', 'slug': 'choices-matter'}^|^{'name': 'Multiplayer', 'slug': 'multiplayer'}^|^{'name': 'Third Person', 'slug': 'third-person'}^
^1660959380^|^Graveyard Keeper - Stranger Sins^|^2019-10-28^|^2019-10-28^|^1.99^|^9.99^|^-80.0^|^8.00^|^USD^|^default^|^https://www.gog.com/en/game/graveyard_keeper_stranger_sins^|^Lazy Bear Games^|^tinyBuild^|^windows^|^linux^|^osx^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Simulation', 'slug': 'simulation'}^|^{'name': 'Mystery', 'slug': 'mystery'}^|^{'name': 'Gore', 'slug': 'gore'}^|^^|^^|^^|^^|^^|^^
^1771589310^|^Disco Elysium - The Final Cut^|^2019-10-15^|^2019-10-22^|^9.99^|^39.99^|^-75.0^|^30.00^|^USD^|^default^|^https://www.gog.com/en/game/disco_elysium^|^ZA/UM^|^ZA/UM^|^windows^|^osx^|^^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Role-playing', 'slug': 'role-playing'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Turn-Based', 'slug': 'turn-based'}^|^{'name': 'Exploration', 'slug': 'exploration'}^|^{'name': 'Choices Matter', 'slug': 'choices-matter'}^|^{'name': 'Funny', 'slug': 'funny'}^|^{'name': 'Point&Click', 'slug': 'point-and-click'}^
^1861082507^|^SteamWorld Dig 2^|^2017-09-22^|^2017-09-22^|^1.99^|^19.99^|^-90.0^|^18.00^|^USD^|^default^|^https://www.gog.com/en/game/steamworld_dig_2^|^Image and Form^|^Image and Form^|^windows^|^linux^|^osx^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Exploration', 'slug': 'exploration'}^|^{'name': 'Puzzle', 'slug': 'puzzle'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Female Protagonist', 'slug': 'female-protagonist'}^|^{'name': 'Casual', 'slug': 'casual'}^|^{'name': 'Platformer', 'slug': 'platformer'}^|^{'name': 'Logic', 'slug': 'logic'}^
^1207659209^|^Papers, Please^|^2013-08-08^|^2013-08-08^|^4.99^|^9.99^|^-50.0^|^5.00^|^USD^|^default^|^https://www.gog.com/en/game/papers_please^|^Lucas Pope^|^3909 LLC^|^windows^|^linux^|^osx^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': '2D', 'slug': 'two-dimensional'}^|^{'name': 'Puzzle', 'slug': 'puzzle'}^|^{'name': 'Simulation', 'slug': 'simulation'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Casual', 'slug': 'casual'}^|^{'name': 'Pixel Graphics', 'slug': 'pixel-graphics'}^|^{'name': 'Point&Click', 'slug': 'point-and-click'}^
^1100566473^|^Drakensang^|^2009-02-27^|^2020-11-25^|^1.99^|^9.99^|^-80.0^|^8.00^|^USD^|^default^|^https://www.gog.com/en/game/drakensang^|^Radon Labs^|^DTP Entertainment^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Fantasy', 'slug': 'fantasy'}^|^{'name': 'Role-playing', 'slug': 'role-playing'}^|^{'name': 'Turn-Based', 'slug': 'turn-based'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Third Person', 'slug': 'third-person'}^|^{'name': 'Magic', 'slug': 'magic'}^|^{'name': 'Good Old Game', 'slug': 'good-old-game'}^|^{'name': 'CRPG', 'slug': 'crpg'}^|^^
^1207660523^|^FlatOut 2^|^2006-06-30^|^2014-01-23^|^1.49^|^9.99^|^-85.0^|^8.50^|^USD^|^default^|^https://www.gog.com/en/game/flatout_2^|^Bugbear Entertainment^|^Strategy First^|^windows^|^linux^|^^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Casual', 'slug': 'casual'}^|^{'name': 'Funny', 'slug': 'funny'}^|^{'name': 'Multiplayer', 'slug': 'multiplayer'}^|^{'name': 'Arcade', 'slug': 'arcade'}^|^{'name': 'Local Multiplayer', 'slug': 'local-multiplayer'}^|^{'name': 'Physics', 'slug': 'physics'}^|^{'name': 'Racing', 'slug': 'racing'}^
^1207658906^|^The Last Express^|^1997-03-30^|^2011-01-26^|^1.19^|^5.99^|^-80.0^|^4.80^|^USD^|^default^|^https://www.gog.com/en/game/last_express_the^|^Smoking Car Productions^|^Phoenix Licensing^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Classic', 'slug': 'classic'}^|^{'name': 'Choices Matter', 'slug': 'choices-matter'}^|^{'name': 'Point&Click', 'slug': 'point-and-click'}^|^{'name': 'Mystery', 'slug': 'mystery'}^|^{'name': 'Historical', 'slug': 'historical'}^|^{'name': 'Investigation', 'slug': 'investigation'}^|^{'name': 'Realistic', 'slug': 'realistic'}^|^{'name': 'Detective-mystery', 'slug': 'detective'}^|^{'name': 'Noir', 'slug': 'noir'}^
^1649787293^|^Graveyard Keeper - Game of Crone^|^2020-10-27^|^2020-10-29^|^1.99^|^9.99^|^-80.0^|^8.00^|^USD^|^default^|^https://www.gog.com/en/game/graveyard_keeper_game_of_crone^|^Lazy Bear Games^|^tinyBuild^|^windows^|^linux^|^osx^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Simulation', 'slug': 'simulation'}^|^{'name': 'Pixel Graphics', 'slug': 'pixel-graphics'}^|^{'name': 'Management', 'slug': 'management'}^|^{'name': 'Mystery', 'slug': 'mystery'}^|^{'name': 'Medieval', 'slug': 'medieval'}^|^{'name': 'Crafting', 'slug': 'crafting'}^|^{'name': 'Farming', 'slug': 'farming'}^|^^
^1647285695^|^American Fugitive^|^2019-05-21^|^2022-12-22^|^1.99^|^19.99^|^-90.0^|^18.00^|^USD^|^default^|^https://www.gog.com/en/game/american_fugitive^|^Fallen Tree Games Ltd^|^Curve Digital^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Indie', 'slug': 'indie'}^|^{'name': 'Open World', 'slug': 'open-world'}^|^{'name': 'Sandbox', 'slug': 'sandbox'}^|^{'name': 'Violent', 'slug': 'violent'}^|^{'name': 'Top-Down', 'slug': 'top-down'}^|^{'name': 'Crime', 'slug': 'crime'}^|^^|^^
^1445852217^|^Pathologic Classic HD^|^2015-10-29^|^2015-10-29^|^1.29^|^12.99^|^-90.0^|^11.70^|^USD^|^default^|^https://www.gog.com/en/game/pathologic_classic_hd^|^Ice-Pick Lodge, General Arcade^|^Good Shepherd Entertainment	^|^windows^|^^|^^|^{'name': 'Adventure', 'slug': 'adventure'}^|^{'name': 'Action', 'slug': 'action'}^|^{'name': 'Story Rich', 'slug': 'story-rich'}^|^{'name': 'Atmospheric', 'slug': 'atmospheric'}^|^{'name': 'First-Person', 'slug': 'first-person'}^|^{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}^|^{'name': 'Dark', 'slug': 'dark'}^|^{'name': 'Horror', 'slug': 'horror'}^|^{'name': 'Choices Matter', 'slug': 'choices-matter'}^|^{'name': 'Open World', 'slug': 'open-world'}^
^1443001674^|^Stronghold Crusader 2: Special Edition^|^2014-09-22^|^2015-11-19^|^4.99^|^49.99^|^-90.0^|^45.00^|^USD^|^default^|^https://www.gog.com/en/game/stronghold_crusader_2_special_edition^|^FireFly Studios^|^FireFly Studios^|^windows^|^^|^^|^{'name': 'Strategy', 'slug': 'strategy'}^|^{'name': 'Real-Time', 'slug': 'real-time'}^|^{'name': 'Historical', 'slug': 'historical'}^|^^|^^|^^|^^|^^|^^|^^
